日付,登録_背番号,登録_名前,登録_守備位置,抹消_背番号,抹消_名前,抹消_守備位置
2026/06/19,28,今朝丸裕喜,投手,,,
2026/06/18,,,,64,岡留英貴,投手
2026/06/17,64,岡留英貴,投手,9,立石正広,内野手
2026/06/17,38,小幡竜平,内野手,34,岡城快生,外野手
2026/06/17,60,小野寺暖,外野手,,,
2026/06/15,,,,16,西勇輝,投手
2026/06/14,63,石黒佑弥,投手,36,畠世周,投手
2026/06/13,39,榮枝裕貴,捕手,30,門別啓人,投手
2026/06/12,47,桐敷拓馬,投手,65,湯浅京己,投手
2026/06/12,92,福島圭音,外野手,53,島田海吏,外野手
2026/06/11,27,伊藤将司,投手,,,
2026/06/10,66,津田淳哉,投手,26,椎葉剛,投手
2026/06/10,34,岡城快生,外野手,2,梅野隆太郎,捕手
2026/06/09,33,糸原健斗,内野手,,,
2026/06/08,,,,00,元山飛優,内野手
2026/06/08,,,,24,Ｃ．ディベイニー,内野手
2026/06/06,58,前川右京,外野手,56,百﨑蒼生,内野手
2026/06/04,00,元山飛優,内野手,38,小幡竜平,内野手
2026/06/03,56,百﨑蒼生,内野手,,,
2026/06/01,,,,99,Ｄ．モレッタ,投手
2026/05/30,53,島田海吏,外野手,92,福島圭音,外野手
2026/05/28,54,木下里都,投手,34,岡城快生,外野手
2026/05/27,30,門別啓人,投手,47,桐敷拓馬,投手
2026/05/27,99,Ｄ．モレッタ,投手,,,
2026/05/24,,,,46,Ｃ．ラグズデール,投手
2026/05/21,46,Ｃ．ラグズデール,投手,48,茨木秀俊,投手
2026/05/21,24,Ｃ．ディベイニー,内野手,63,石黒佑弥,投手
2026/05/20,48,茨木秀俊,投手,00,元山飛優,内野手
2026/05/19,9,立石正広,内野手,,,
2026/05/18,,,,58,前川右京,外野手
2026/05/15,63,石黒佑弥,投手,,,
2026/05/15,34,岡城快生,外野手,,,
2026/05/14,,,,99,Ｄ．モレッタ,投手
2026/05/14,,,,60,小野寺暖,外野手
2026/05/12,16,西勇輝,投手,,,
2026/05/09,00,元山飛優,内野手,40,井坪陽生,外野手
2026/05/06,,,,51,早川太貴,投手
2026/05/05,26,椎葉剛,投手,30,門別啓人,投手
2026/05/05,36,畠世周,投手,63,石黒佑弥,投手
2026/05/05,85,嶋村麟士朗,捕手,34,岡城快生,外野手
2026/05/04,30,門別啓人,投手,66,津田淳哉,投手
2026/05/03,40,井坪陽生,外野手,32,濱田太貴,外野手
2026/05/01,37,及川雅貴,投手,16,西勇輝,投手
2026/04/30,16,西勇輝,投手,,,
2026/04/29,29,髙橋遥人,投手,50,富田蓮,投手
2026/04/29,66,津田淳哉,投手,,,
2026/04/29,34,岡城快生,外野手,,,
2026/04/28,50,富田蓮,投手,,,
2026/04/28,51,早川太貴,投手,,,
2026/04/27,,,,54,木下里都,投手
2026/04/27,,,,5,近本光司,外野手
2026/04/26,,,,14,岩貞祐太,投手
2026/04/25,2,梅野隆太郎,捕手,,,
2026/04/25,60,小野寺暖,外野手,,,
2026/04/23,,,,48,茨木秀俊,投手
2026/04/23,,,,68,中川勇斗,捕手
2026/04/23,,,,85,嶋村麟士朗,捕手
2026/04/20,,,,18,伊原陵人,投手
2026/04/19,32,濱田太貴,外野手,34,岡城快生,外野手
2026/04/18,21,大竹耕太郎,投手,,,
2026/04/18,54,木下里都,投手,,,
2026/04/17,,,,42,Ｅ．ルーカス,投手
2026/04/14,14,岩貞祐太,投手,,,
2026/04/13,,,,29,髙橋遥人,投手
2026/04/13,,,,51,早川太貴,投手
2026/04/09,48,茨木秀俊,投手,,,
2026/04/07,58,前川右京,外野手,,,
2026/04/06,,,,33,糸原健斗,内野手
2026/04/05,49,工藤泰成,投手,21,大竹耕太郎,投手
2026/04/05,,,,54,木下里都,投手
2026/04/04,21,大竹耕太郎,投手,50,富田蓮,投手
2026/04/03,50,富田蓮,投手,37,及川雅貴,投手
2026/04/02,18,伊原陵人,投手,,,
2026/04/01,42,Ｅ．ルーカス,投手,,,
2026/03/31,35,才木浩人,投手,,,
2026/03/31,92,福島圭音,外野手,,,
2026/03/30,,,,27,伊藤将司,投手
2026/03/30,,,,32,濱田太貴,外野手
2026/03/26,13,岩崎優,投手,,,
2026/03/26,27,伊藤将司,投手,,,
2026/03/26,29,髙橋遥人,投手,,,
2026/03/26,37,及川雅貴,投手,,,
2026/03/26,41,村上頌樹,投手,,,
2026/03/26,47,桐敷拓馬,投手,,,
2026/03/26,51,早川太貴,投手,,,
2026/03/26,54,木下里都,投手,,,
2026/03/26,63,石黒佑弥,投手,,,
2026/03/26,65,湯浅京己,投手,,,
2026/03/26,98,Ｒ．ドリス,投手,,,
2026/03/26,99,Ｄ．モレッタ,投手,,,
2026/03/26,12,坂本誠志郎,捕手,,,
2026/03/26,17,伏見寅威,捕手,,,
2026/03/26,68,中川勇斗,捕手,,,
2026/03/26,85,嶋村麟士朗,捕手,,,
2026/03/26,0,木浪聖也,内野手,,,
2026/03/26,3,大山悠輔,内野手,,,
2026/03/26,4,熊谷敬宥,内野手,,,
2026/03/26,7,中野拓夢,内野手,,,
2026/03/26,8,佐藤輝明,内野手,,,
2026/03/26,33,糸原健斗,内野手,,,
2026/03/26,38,小幡竜平,内野手,,,
2026/03/26,62,植田海,内野手,,,
2026/03/26,67,髙寺望夢,内野手,,,
2026/03/26,1,森下翔太,外野手,,,
2026/03/26,5,近本光司,外野手,,,
2026/03/26,32,濱田太貴,外野手,,,
2026/03/26,34,岡城快生,外野手,,,
